[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | INFO: Tag[ route_check ] --START--
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | INFO: Run CheckRoute Behavior [ RunTime:0.000173s ]
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000318s ]
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | INFO: Tag[ app_begin ] --START--
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000114s ]
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000162s ]
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | INFO: Tag[ view_template ] --START--
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000076s ]
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000129s ]
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | INFO: Tag[ view_parse ] --START--
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T15:06:09+08:00 ] /marchsoft.cn/index.php/Prize/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
