[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | INFO: Tag[ route_check ] --START--
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | INFO: Run CheckRoute Behavior [ RunTime:0.000036s ]
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000104s ]
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | INFO: Tag[ app_begin ] --START--
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000028s ]
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000041s ]
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | SQL: SHOW COLUMNS FROM `march_march_jottings` [ RunTime:0.000269s ]
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | SQL: select us.Num,us.Jtitle,us.id,us.Title,us.Img,us.Jcontent,us.Jtime,er.user_name FROM march_jottings us
					left join march_user er on  er.user_phone = us.user_phone where us.State = 1 
					order by Jtime desc limit 6 [ RunTime:0.000220s ]
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | SQL: select us.Jtime FROM march_jottings us  where State = 1 order by Jtime desc limit 1 [ RunTime:0.000037s ]
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | SQL: select left(Jtime,4) str FROM march_jottings where State = 1  group by left(Jtime,4) order by left(Jtime,4) DESC; [ RunTime:0.000022s ]
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | SQL: select count(*) FROM march_jottings where State = 1 [ RunTime:0.000019s ]
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | INFO: Tag[ view_template ] --START--
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000081s ]
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000130s ]
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | INFO: Tag[ view_parse ] --START--
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-10-06T21:19:27+08:00 ] /marchsoft.cn/index.php/Grow/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
